FIPS code,CBSA 2012 pop,County 2012 pop,2013 code
8095,.,4367,6
8097,74216,17263,5
8099,.,12389,6
8101,160852,160852,4
8103,.,6857,6
8105,.,11943,6
8107,23334,23334,5
8109,.,6304,6
8111,.,690,6
8113,.,7580,6
8115,.,2383,6
8117,28044,28044,5
8119,668353,23389,3
8121,.,4766,6
8123,263691,263691,3
8125,.,10119,6
9001,933835,933835,3
9003,1214400,897259,1
9005,187530,187530,5
9007,1214400,165602,2
9009,862813,862813,3
9011,274170,274170,3
9013,1214400,151539,2
9015,923762,117599,3
10001,167626,167626,4
10003,MD         6018800,546076,2
10005,381868,203390,3
11001,-WV        5860342,632323,1
12001,268232,251417,3
12003,1377850,27086,2
12005,187621,171903,4
12007,.,27049,6
12009,547307,547307,3
12011,5762717,1815137,2
12013,.,14723,6
12015,162449,162449,4
12017,139360,139360,4
12019,1377850,194345,2
12021,332427,332427,3
12023,67966,67966,5
12027,34712,34712,5
12029,.,16126,6
12031,1377850,879602,1
12033,461227,302715,3
12035,595309,98359,3
12037,.,11686,6
12039,375371,46528,3
12041,268232,16815,3
12043,.,13107,6
12045,187621,15718,4
12047,.,14708,6
12049,27514,27514,5
12051,37447,37447,5
12053,2842878,173422,2
12055,98128,98128,4
12057,2842878,1277746,1
12059,.,19804,6
12061,140567,140567,4
12063,.,48968,6
12065,375371,14256,3
12067,.,8804,6
12069,2223674,303186,2
12071,645293,645293,3
12073,375371,283769,3
12075,.,40025,6
12077,.,8276,6
12079,.,18907,6
12081,720042,333895,3
12083,335125,335125,3
12085,432683,148817,3
12086,5762717,2591035,1
12087,74809,74809,5
12089,1377850,74629,2
12091,247665,190083,4
12093,39467,39467,5
12095,2223674,1202234,1
12097,2223674,287416,2
12099,5762717,1356545,2
12101,2842878,470391,2
12103,2842878,921319,1
12105,616158,616158,3
12107,73263,73263,5
12109,1377850,202188,2
12111,432683,283866,3
12113,461227,158512,3
12115,720042,386147,3
12117,2223674,430838,2
12119,101620,101620,4
12121,.,43656,6
12123,.,22744,6
12125,.,15212,6
12127,595309,496950,3
12129,375371,30818,3
12131,247665,57582,4
12133,.,24892,6
13001,.,18368,6
13003,.,8284,6
13005,.,11198,6
13007,157399,3366,4
13009,55363,46367,5
13011,.,18316,6
13013,5457831,70169,2
13015,5457831,100661,2
13017,17538,17538,5
13019,.,19041,6
13021,232723,156462,4
13023,.,12913,6
13025,113448,18587,4
13027,144343,15403,4
13029,361941,32214,3
13031,72694,72694,5
13033,575898,23125,3
13035,5457831,23524,2
13037,.,6504,6
13039,51402,51402,5
13043,.,11117,6
13045,5457831,111580,2
13047,537889,65046,3
13049,.,13295,6
13051,361941,276434,3
13053,310531,13037,3
13055,25725,25725,5
13057,5457831,221315,2
13059,196425,120266,4
13061,.,3116,6
13063,5457831,265888,2
13065,.,6718,6
13067,5457831,707442,2
13069,43170,43170,5
13071,46137,46137,5
13073,575898,131627,3
13075,.,16923,6
13077,5457831,130929,2
13079,232723,12600,4
13081,23606,23606,5
13083,537889,16490,3
13085,5457831,22422,2
13087,27509,27509,5
13089,5457831,707089,2
13091,.,21329,6
13093,.,14318,6
13095,157399,94501,4
13097,5457831,133971,2
13099,.,10594,6
13101,144343,3988,4
13103,361941,53293,3
13105,.,19684,6
13107,.,22898,6
13109,.,10689,6
13111,.,23492,6
13113,5457831,107524,2
13115,96177,96177,4
13117,5457831,187928,2
13119,.,21894,6
13121,5457831,977773,1
13123,.,28190,6
13125,.,3142,6
13127,113448,81022,4
13129,55766,55766,5
13131,.,25440,6
13133,.,16092,6
13135,5457831,842046,2
13137,43520,43520,5
13139,185416,185416,4
13141,55363,8996,5
13143,5457831,28400,2
13145,310531,32550,3
13147,.,25518,6
13149,5457831,11633,2
13151,5457831,209053,2
13153,185478,146136,4
13155,.,9600,6
13157,60571,60571,5
13159,5457831,13630,2
13161,.,15156,6
13163,.,16432,6
13165,.,9213,6
13167,57938,9897,5
13169,232723,28577,4
13171,5457831,18057,2
13173,144343,10400,4
13175,57938,48041,5
13177,157399,28746,4
13179,81519,65471,4
13181,575898,7737,3
13183,81519,16048,4
13185,144343,114552,4
13187,.,30611,6
13189,575898,21663,3
13191,113448,13839,4
13193,.,14263,6
13195,196425,27922,4
13197,310531,8711,3
13199,5457831,21273,2
13201,.,5969,6
13205,.,23144,6
13207,232723,26637,4
13209,36228,8913,5
13211,5457831,17881,2
13213,142751,39392,4
13215,310531,198413,3
13217,5457831,101505,2
13219,196425,33619,4
13221,196425,14618,4
13223,5457831,144800,2
13225,185478,27622,4
13227,5457831,29268,2
13229,54665,18844,5
13231,5457831,17810,2
13233,41188,41188,5
13235,185478,11720,4
13237,.,21198,6
13239,.,2404,6
13241,.,16297,6
