	k	NRMSE
1	20	0.942283856841584
2	40	0.469165541605592
3	60	0.434942610104577
4	80	0.852785376843394
5	100	0.847428349963922
6	20	0.435421253635895
7	40	0.560286459953956
8	60	0.538842997857853
9	80	0.810941807163055
10	100	0.795581955404109
11	20	0.329705202412831
12	40	0.47014372682649
13	60	0.417072954186666
14	80	0.835568832810924
15	100	0.923129784568265
16	20	0.459253396103843
17	40	0.459573401104885
18	60	0.465137129659555
19	80	0.800003961073991
20	100	0.839051740941282
21	20	0.438444834794028
22	40	0.479139955807764
23	60	0.36322731691441
24	80	0.782660993200781
25	100	0.812670484215182
26	20	0.42247384741394
27	40	0.488986246488342
28	60	0.457844615079998
29	80	0.789928597314376
30	100	0.813967420455137
31	20	0.407734854807598
32	40	0.382386861171951
33	60	0.453998974215131
34	80	0.868191567085417
35	100	0.790270097133711
36	20	0.409615366610582
37	40	0.45464581433148
38	60	0.334110777069947
39	80	0.78481029383179
40	100	0.797316673115145
41	20	0.430519204175388
42	40	0.46490016912836
43	60	0.41578190585456
44	80	0.821551856543968
45	100	0.862462575002242
46	20	0.33519194770832
47	40	0.435933903847254
48	60	0.457472275060929
49	80	0.769039280689933
50	100	0.799199894291772
51	20	0.310619878171374
52	40	0.42377087785155
53	60	0.420101936462544
54	80	0.783753545648404
55	100	0.880641429693468
56	20	0.386113313402447
57	40	0.436257627391651
58	60	0.423248276069833
59	80	0.765838032925361
60	100	0.872765017079199
61	20	0.429515207782347
62	40	0.379632548131907
63	60	0.459025987822296
64	80	0.741115640150362
65	100	0.821254139898225
66	20	0.440976411537412
67	40	0.390211819881503
68	60	0.436315630097418
69	80	0.840421405918229
70	100	0.831828619766671
71	20	0.419295884755456
72	40	0.464023006756331
73	60	0.50323742705791
74	80	0.873805932418515
75	100	0.951779190487701
76	20	0.437440030150149
77	40	0.353486277789649
78	60	0.443429784915074
79	80	0.789325733530465
80	100	0.853248577219539
81	20	0.400549571826602
82	40	0.43313658156895
83	60	0.472954286769025
84	80	0.855989022409681
85	100	0.76340594209483
86	20	0.394199219768679
87	40	0.459568624595387
88	60	0.56020601415867
89	80	0.815230425997806
90	100	0.87169154704608
91	20	0.399182295541512
92	40	0.383082471144583
93	60	0.409262019835993
94	80	0.825183366189515
95	100	0.820839785495798
96	20	0.413838451674088
97	40	0.406375654434268
98	60	0.526265664608803
99	80	0.830989346112931
100	100	0.837042057986428
